Year,Month,Day,Max Temp (F),Min Temp (F),Average Wind Speed (mph),Relative Humidity (%),Heat Index (F),Users Thermostat (F)
2015,7,15,102,85,5.4,28,105,76
2015,7,16,105,84,4.5,26,108,74
2015,7,17,100,83,4.5,35,106,76
2015,7,18,98,74,3.4,51,114,78
2015,7,19,95,75,3.8,65,118,78
2015,7,20,99,82,4.3,43,109,74
2015,7,21,103,80,3.4,33,110,78
2015,7,22,102,82,4.7,26,103,76
2015,7,23,101,80,5.1,30,104,76
2015,7,24,101,84,3.4,34,107,77
2015,7,25,107,81,4.7,19,107,75
2015,7,26,108,79,4.7,16,106,75
2015,7,27,103,79,4.7,29,107,74
2015,7,28,103,87,4.9,29,107,74
2015,7,29,99,84,2.9,44,110,75
2015,7,30,102,82,3.4,40,114,77
2015,7,31,105,81,4.7,44,126,77
2015,8,1,102,81,3.6,47,121,76
2015,8,2,106,85,4.9,35,119,74
2015,8,3,107,82,4,25,111,74
2015,8,4,109,79,4.5,22,112,75
2015,8,5,110,80,5.4,22,114,78
2015,8,6,102,89,4,31,107,77
2015,8,7,103,82,5.4,38,114,78
2015,8,8,99,79,4.7,49,115,76
2015,8,9,104,82,3.6,32,111,76
2015,8,10,101,83,3.8,32,105,74
2015,8,11,97,75,3.8,44,106,75
2015,8,12,106,78,3.6,45,130,76
2015,8,13,111,85,3.8,30,125,78
2015,8,14,112,90,3.8,24,120,78
2015,8,15,112,88,4,27,123,74
2015,8,16,111,89,5.1,30,125,77
2015,8,17,105,89,5.6,33,114,75
2015,8,18,103,84,5.4,30,108,74
2015,8,19,103,82,4.3,30,108,78
2015,8,20,103,83,4,31,108,75
2015,8,21,103,85,4.9,31,108,78
2015,8,22,103,85,4,35,112,75
2015,8,23,104,84,4.9,34,113,76
2015,8,24,104,85,4,39,118,75
2015,8,25,98,80,2.9,57,119,74
2015,8,26,102,82,2.7,49,123,78
2015,8,27,106,84,2.9,41,125,75
2015,8,28,106,81,3.6,40,124,77
2015,8,29,107,83,3.4,31,117,75
2015,8,30,105,84,4.3,46,129,74
2015,8,31,104,81,3.6,43,122,75
2015,9,1,96,78,2.9,54,111,77
2015,9,2,99,83,2.7,39,106,75
2015,9,3,99,77,5.4,42,109,75
2015,9,4,94,75,4.9,55,106,76
2015,9,5,92,79,4,52,100,74
2015,9,6,100,81,3.4,44,113,75
2015,9,7,99,81,2.5,38,106,76
2015,9,8,102,84,5.1,40,114,74
2015,9,9,91,81,2.7,49,96,76
2015,9,10,94,80,3.4,46,100,78
2015,9,11,99,75,3.6,44,110,77
2015,9,12,103,78,2.5,35,112,76
2015,9,13,101,74,3.1,38,110,76
2015,9,14,95,73,4.3,58,111,76
2015,9,15,94,77,4.9,50,103,78
2015,9,16,93,76,4.9,49,100,74
2015,9,17,94,70,3.6,38,96,77
2015,9,18,97,72,2.7,29,97,75
2015,9,19,100,75,4.3,27,101,78
2015,9,20,101,77,4,39,111,74
2015,9,21,88,75,4,66,98,77
2015,9,22,88,72,2.7,75,103,78
2015,9,23,96,71,2.9,53,110,77
2015,9,24,102,76,3.1,35,110,78
2015,9,25,102,77,6.5,32,107,74
2015,9,26,100,83,6,32,104,75
2015,9,27,101,76,2.5,29,103,77
2015,9,28,100,76,2.9,28,101,74
2015,9,29,101,74,2.7,25,101,77
2015,9,30,103,75,3.1,24,104,75
2015,10,1,102,75,5.1,21,101,78
2015,10,2,94,72,4.7,25,91,75
2015,10,3,89,65,3.8,24,86,80
2015,10,4,91,67,7.2,41,93,75
2015,10,5,84,69,6,57,87,83
2015,10,6,78,61,2.7,68,78,78
2015,10,7,80,59,2.2,64,82,81
2015,10,8,89,62,4.3,44,91,74
2015,10,9,92,69,5.4,42,95,74
2015,10,10,92,75,4.7,47,97,77
2015,10,11,94,71,3.1,44,99,77
2015,10,12,93,70,2.5,40,95,76
2015,10,13,95,69,2.5,37,97,77
2015,10,14,98,72,3.4,31,99,78
2015,10,15,97,71,3.4,28,97,78
2015,10,16,94,70,6.7,45,100,74
2015,10,17,86,71,8.5,49,88,86
2015,10,18,88,64,6,63,97,78
2015,10,19,82,66,2.9,70,86,81
2015,10,20,74,61,3.4,68,74,74
2015,10,21,73,60,1.6,70,73,73
2015,10,22,76,56,2.5,58,76,76
2015,10,23,82,59,2.9,49,83,79
2015,10,24,89,60,5.6,38,89,84
2015,10,25,85,69,5.6,41,85,81
2015,10,26,87,66,3.1,42,87,83
2015,10,27,86,60,3.4,39,85,82
2015,10,28,83,65,2.9,34,82,80
2015,10,29,79,60,4,60,79,79
2015,10,30,77,57,3.6,62,77,77
2015,10,31,81,53,3.6,39,81,79
2015,11,1,82,54,3.6,41,82,81
2015,11,2,83,57,4.3,40,82,79
2015,11,3,78,63,5.8,53,78,78
2015,11,4,63,50,4.9,64,62,64
2015,11,5,64,44,2.2,60,64,62
2015,11,6,72,43,4,43,72,72
2015,11,7,78,52,5.1,34,78,78
2015,11,8,78,58,5.8,44,78,78
2015,11,9,76,52,3.4,40,76,76
2015,11,10,68,49,6.5,55,68,68
2015,11,11,65,42,2.9,38,64,61
2015,11,12,75,45,5.6,29,74,74
2015,11,13,78,50,5.1,30,78,78
2015,11,14,75,48,4,36,74,74
2015,11,15,64,53,4,69,64,63
2015,11,16,56,44,6.9,68,55,63
2015,11,17,61,40,2.9,44,60,65
2015,11,18,64,41,2.7,46,63,61
2015,11,19,75,43,4,42,74,74
2015,11,20,76,48,3.4,40,76,76
2015,11,21,80,53,6.7,30,80,79
2015,11,22,78,53,5.6,33,78,78
2015,11,23,78,54,3.8,31,78,78
2015,11,24,75,49,3.6,36,74,74
2015,11,25,70,57,4.9,47,70,70
2015,11,26,61,42,2.9,40,60,61
2015,11,27,59,37,3.4,46,58,63
2015,11,28,60,40,2.9,47,59,62
2015,11,29,58,37,3.1,44,57,65
2015,11,30,59,34,2.9,36,58,63
2015,12,1,63,34,3.1,34,62,62
2015,12,2,68,35,4.7,30,67,67
2015,12,3,72,44,4.3,27,71,71
2015,12,4,71,43,4.5,28,70,70
2015,12,5,71,42,3.1,28,70,70
2015,12,6,77,46,5.6,33,76,76
2015,12,7,76,52,3.6,28,76,76
2015,12,8,71,46,3.4,31,70,70
2015,12,9,70,47,4,38,69,69
2015,12,10,74,46,3.4,38,74,74
2015,12,11,64,52,4.5,51,63,64
2015,12,12,56,42,3.1,73,56,65
2015,12,13,56,33,3.4,56,55,64
2015,12,14,54,39,4.9,59,53,63
2015,12,15,54,33,2.5,49,52,60
2015,12,16,53,31,2.7,45,52,65
2015,12,17,54,32,2.7,44,52,60
2015,12,18,66,36,4.9,41,65,65
2015,12,19,65,45,4.7,45,64,62
2015,12,20,60,41,3.1,63,60,61
2015,12,21,61,40,2.7,48,60,65
2015,12,22,53,42,2.2,71,52,63
2015,12,23,61,50,3.4,81,61,65
2015,12,24,64,50,3.1,65,64,61
2015,12,25,57,40,4.7,56,56,62
2015,12,26,54,39,8.1,35,52,60
2015,12,27,57,34,3.6,41,56,65
2015,12,28,56,34,3.4,47,55,61
2015,12,29,52,37,2.7,49,50,62
2015,12,30,57,34,2.9,52,56,61
2015,12,31,60,32,3.1,56,59,60
2016,1,1,65,35,6.3,52,64,65
2016,1,2,69,50,6.5,51,68,68
2016,1,3,70,51,7.2,43,70,70
2016,1,4,64,51,8.3,65,64,64
2016,1,5,55,49,4.3,90,54,61
2016,1,6,56,48,5.6,81,56,64
2016,1,7,50,44,4.3,93,50,62
2016,1,8,52,43,3.4,79,52,65
2016,1,9,55,39,2.9,68,54,65
2016,1,10,55,41,2.9,67,54,65
2016,1,11,59,38,4,55,58,63
2016,1,12,63,36,6.9,51,62,62
2016,1,13,63,39,4.5,38,62,65
2016,1,14,60,37,2.7,42,59,60
2016,1,15,57,41,4.5,60,56,65
2016,1,16,58,36,3.1,58,57,61
2016,1,17,65,38,2.7,53,64,60
2016,1,18,66,43,3.4,44,65,65
2016,1,19,66,41,3.1,48,66,66
2016,1,20,67,45,3.1,56,66,66
2016,1,21,70,47,4.5,44,70,70
2016,1,22,72,46,5.4,37,72,72
2016,1,23,71,45,3.8,39,70,70
2016,1,24,63,41,3.4,48,62,61
2016,1,25,65,42,3.4,49,64,65
2016,1,26,66,40,5.1,41,65,65
2016,1,27,68,42,4.9,38,67,67
2016,1,28,69,44,3.8,39,68,68
2016,1,29,69,41,2.7,39,68,68
2016,1,30,69,43,4,47,68,68
2016,1,31,72,48,8.5,68,72,72
2016,2,1,53,41,9.2,63,52,64
2016,2,2,53,33,4,42,52,65
2016,2,3,54,32,2.9,38,52,63
2016,2,4,62,34,4.9,38,61,64
2016,2,5,68,40,6.5,41,67,67
2016,2,6,72,42,6.9,35,72,72
2016,2,7,78,44,7.8,39,78,78
2016,2,8,82,52,8.7,34,81,80
2016,2,9,83,53,6.9,35,82,80
2016,2,10,81,53,5.1,33,80,79
2016,2,11,80,50,4.7,33,80,79
2016,2,12,82,50,4.9,31,81,79
2016,2,13,82,49,3.4,33,81,79
2016,2,14,78,47,4,33,78,78
2016,2,15,83,49,4.3,38,82,80
2016,2,16,85,52,4.7,39,84,83
2016,2,17,85,51,4,36,84,80
2016,2,18,79,55,4.7,34,78,78
2016,2,19,78,54,2.7,32,78,78
2016,2,20,82,50,2.7,34,81,80
2016,2,21,81,50,3.1,35,80,79
2016,2,22,82,50,5.8,34,81,80
2016,2,23,71,54,5.4,34,70,70
2016,2,24,74,46,5.1,35,74,74
2016,2,25,81,48,4,32,80,79
2016,2,26,84,55,4,29,82,79
2016,2,27,83,50,3.4,30,81,80
2016,2,28,82,50,2.9,27,80,79
2016,3,1,84,55,2.9,29,82,81
2016,3,2,85,53,3.1,27,83,80
2016,3,3,86,56,3.4,27,83,81
2016,3,4,86,55,2.9,25,83,79
2016,3,5,79,56,2.9,29,78,78
2016,3,6,76,61,5.8,38,76,76
2016,3,7,67,46,4.9,39,66,66
2016,3,8,71,46,3.8,42,70,70
2016,3,9,77,47,3.6,28,76,76
2016,3,10,83,54,4,26,81,80
2016,3,11,83,53,5.1,28,81,79
2016,3,12,69,50,5.1,48,68,68
2016,3,13,74,49,2.9,33,74,74
2016,3,14,76,50,3.6,41,76,76
2016,3,15,85,53,3.8,31,83,79
2016,3,16,85,53,4.3,22,82,81
2016,3,17,85,54,4.5,21,82,80
2016,3,18,87,51,3.4,22,84,82
2016,3,19,87,53,2.9,23,84,81
2016,3,20,88,56,3.8,21,85,79
2016,3,21,89,58,4.7,23,86,84
2016,3,22,79,60,7.8,31,78,78
2016,3,23,75,56,5.4,20,74,74
2016,3,24,78,47,4.3,21,77,77
2016,3,25,83,49,4.3,19,81,79
2016,3,26,85,55,4.9,19,82,80
2016,3,27,83,56,5.8,22,81,79
2016,3,28,79,57,8.5,29,78,78
2016,3,29,67,51,7.8,38,66,66
2016,3,30,66,46,3.1,34,65,65
2016,3,31,72,49,3.4,32,71,71
2016,4,1,77,51,2.2,24,76,76
2016,4,2,82,54,4,20,80,79
2016,4,3,87,55,2.9,20,84,82
2016,4,4,89,56,3.8,17,85,82
2016,4,5,90,57,3.1,15,86,83
2016,4,6,95,64,5.6,12,89,83
2016,4,7,88,67,6.9,25,85,80
2016,4,8,78,60,5.4,58,78,78
2016,4,9,79,61,4,47,79,79
2016,4,10,69,54,4.5,64,69,69
2016,4,11,75,52,2.9,62,75,75
2016,4,12,80,56,3.4,44,80,79
2016,4,13,84,59,2.7,37,83,80
2016,4,14,87,60,4.9,31,85,83
2016,4,15,82,59,9.4,30,80,79
2016,4,16,79,53,5.1,30,78,78
2016,4,17,81,60,4.9,28,80,79
2016,4,18,84,57,5.8,22,81,80
2016,4,19,88,61,4.3,20,85,81
2016,4,20,92,60,3.4,16,88,82
2016,4,21,94,63,3.4,14,90,76
2016,4,22,93,66,4.9,17,89,81
2016,4,23,86,66,6.3,21,83,81
2016,4,24,85,56,4.5,17,82,80
2016,4,25,79,64,9.6,31,78,78
2016,4,26,75,54,4.7,28,74,74
2016,4,27,80,54,4,25,80,79
2016,4,28,74,60,7.2,36,74,74
2016,4,29,79,62,5.4,37,78,78
2016,4,30,77,58,5.4,46,77,77
2016,5,1,77,55,2.2,49,77,77
2016,5,2,84,60,4.5,30,82,80
2016,5,3,92,63,4.7,25,89,79
2016,5,4,100,67,7.6,18,97,74
2016,5,5,95,66,8.1,20,91,75
2016,5,6,76,58,7.8,40,76,76
2016,5,7,76,57,3.4,48,76,76
2016,5,8,79,59,3.8,38,78,78
2016,5,9,83,57,3.8,32,81,79
2016,5,10,88,60,3.6,25,85,79
2016,5,11,92,64,2.9,20,88,81
2016,5,12,99,69,4.5,17,95,74
2016,5,13,100,67,4.3,16,96,74
2016,5,14,98,71,5.4,27,98,77
2016,5,15,91,70,6.9,28,89,84
2016,5,16,89,67,4.7,29,87,80
2016,5,17,87,67,4.5,27,84,80
2016,5,18,85,67,3.6,41,85,82
2016,5,19,91,65,4.3,32,90,76
2016,5,20,96,68,8.5,25,94,75
2016,5,21,89,66,7.8,27,86,82
2016,5,22,86,63,5.4,22,83,80
2016,5,23,87,57,4,18,84,80
2016,5,24,88,65,5.6,23,85,79
2016,5,25,88,58,6.3,19,84,80
2016,5,26,83,61,4.3,26,81,80
2016,5,27,90,60,3.6,18,86,80
2016,5,28,95,64,3.8,17,91,74
2016,5,29,95,66,5.4,18,91,76
2016,5,30,91,61,3.8,16,87,81
2016,5,31,97,64,4.5,13,92,78
2016,6,1,100,69,5.1,15,96,74
2016,6,2,106,70,4.5,12,100,77
2016,6,3,111,74,4.9,10,103,74
2016,6,4,112,77,5.8,10,107,77
2016,6,5,111,75,4.5,8,99,74
2016,6,6,107,76,5.1,9,97,75
2016,6,7,103,80,3.8,13,99,78
2016,6,8,104,75,4.3,18,102,76
2016,6,9,102,80,5.4,25,103,77
2016,6,10,98,78,4.5,36,102,77
2016,6,11,97,74,5.1,39,102,75
2016,6,12,99,71,5.8,23,97,75
2016,6,13,96,74,4.7,20,93,76
2016,6,14,97,68,4.5,15,93,76
2016,6,15,98,69,6,16,94,78
2016,6,16,99,73,4.7,17,95,74
2016,6,17,102,69,3.1,12,96,74
2016,6,18,109,76,4.7,9,99,76
2016,6,19,117,77,5.4,11,113,74
2016,6,20,113,87,7.8,13,110,74
2016,6,21,108,86,4.7,19,108,75
2016,6,22,109,86,4.9,20,110,78
2016,6,23,109,83,4,20,110,77
2016,6,24,106,83,4.3,19,105,75
2016,6,25,106,79,3.4,18,105,77
2016,6,26,103,85,3.6,20,101,74
2016,6,27,107,88,4.3,30,116,74
2016,6,28,110,86,5.1,25,117,76
2016,6,29,105,77,4.7,36,117,77
2016,6,30,94,75,4,55,106,75
2016,7,1,95,79,4,52,107,75
2016,7,2,101,80,3.6,44,115,75
2016,7,3,105,82,3.4,31,112,74
2016,7,4,107,81,4,27,113,75
2016,7,5,107,84,4,20,107,75
2016,7,6,104,81,5.1,21,103,78
2016,7,7,103,80,4.3,24,104,78
2016,7,8,106,77,3.8,18,105,76
2016,7,9,108,79,4,16,106,77
2016,7,10,109,83,5.6,16,107,76
2016,7,11,106,78,5.6,13,102,75
2016,7,12,106,74,4.7,13,102,78
2016,7,13,106,78,3.6,15,103,74
2016,7,14,109,84,4.7,18,109,76
2016,7,15,109,80,4.9,18,109,76
2016,7,16,106,87,4.5,20,106,74
2016,7,17,102,85,4.7,28,105,78
2016,7,18,104,79,3.1,28,108,74
2016,7,19,106,86,2.5,34,118,78
2016,7,20,105,85,4,36,117,77
2016,7,21,110,87,3.6,28,120,74
2016,7,22,111,90,4.7,25,119,74
2016,7,23,110,87,6.5,30,122,77
2016,7,24,107,88,6.5,32,118,75
2016,7,25,107,86,2.9,31,117,75
2016,7,26,109,86,3.4,30,120,76
2016,7,27,112,88,5.4,28,124,75
2016,7,28,109,89,3.8,31,121,77
2016,7,29,110,80,5.8,32,125,78
2016,7,30,101,80,4.9,47,118,77
2016,7,31,102,82,4.7,48,122,75
2016,8,1,98,80,3.4,60,123,78
2016,8,2,97,76,1.8,60,119,76
2016,8,3,96,79,3.1,64,120,74
2016,8,4,99,81,2,59,125,77
2016,8,5,96,72,2.5,58,114,78
2016,8,6,104,79,2.7,43,122,78
2016,8,7,106,84,4.5,36,120,74
2016,8,8,107,82,4,25,111,76
2016,8,9,95,79,4.3,46,103,78
2016,8,10,99,79,2.7,62,128,76
2016,8,11,97,80,2.9,66,126,77
2016,8,12,105,84,4,44,126,74
2016,8,13,106,80,4,36,120,77
2016,8,14,103,83,5.4,38,114,76
2016,8,15,107,87,4,30,116,74
2016,8,16,110,86,4,30,122,74
2016,8,17,106,88,6,28,112,74
2016,8,18,102,80,6.3,35,110,75
2016,8,19,102,77,4.9,35,110,76
2016,8,20,98,76,4,42,106,76
2016,8,21,98,77,3.4,46,109,74
2016,8,22,98,77,4,46,109,76
2016,8,23,92,71,3.4,50,99,74
2016,8,24,101,74,3.4,42,113,75
2016,8,25,100,77,2.7,38,108,75
2016,8,26,95,73,2.7,39,98,76
2016,8,27,95,73,2.7,33,96,74
2016,8,28,97,74,2.7,29,97,77
2016,8,29,104,76,3.8,24,105,77
2016,8,30,105,81,4.3,27,109,75
2016,8,31,103,83,4.7,35,112,75
2016,9,1,101,84,3.8,43,114,74
2016,9,2,101,82,3.1,42,113,75
2016,9,3,102,81,5.6,27,104,74
2016,9,4,98,75,5.6,19,95,77
2016,9,5,98,70,4.5,18,94,75
2016,9,6,97,71,4.3,25,95,74
2016,9,7,89,76,3.6,58,96,75
2016,9,8,94,74,4.3,54,106,75
2016,9,9,101,74,3.4,38,110,76
2016,9,10,102,76,3.1,28,105,76
2016,9,11,102,77,3.8,28,105,78
2016,9,12,97,81,4.9,38,102,77
2016,9,13,96,78,7.6,44,103,75
2016,9,14,95,72,4.9,33,96,76
2016,9,15,94,66,3.4,19,90,75
2016,9,16,94,64,3.4,15,90,75
2016,9,17,97,67,3.4,15,93,76
2016,9,18,102,71,3.8,13,97,75
2016,9,19,98,71,6,26,97,77
2016,9,20,86,79,3.8,47,87,79
2016,9,21,95,76,5.1,48,104,77
2016,9,22,82,72,5.6,68,86,83
2016,9,23,85,65,4.3,28,83,80
2016,9,24,88,59,4.3,23,85,82
2016,9,25,95,69,4.7,23,92,75
2016,9,26,90,77,7.4,34,89,84
2016,9,27,87,72,6,42,87,85
2016,9,28,95,74,5.6,44,101,78
2016,9,29,92,76,2.9,51,99,74
2016,9,30,94,71,2.9,49,102,76
2016,10,1,94,72,3.4,40,97,76
2016,10,2,81,69,4.7,54,82,81
2016,10,3,83,64,4.7,46,83,81
2016,10,4,83,58,2.9,26,81,80
2016,10,5,86,58,3.8,32,84,81
2016,10,6,87,61,2.2,31,85,79
2016,10,7,94,64,4.5,26,92,77
2016,10,8,94,74,6.5,42,98,77
2016,10,9,94,73,4.7,41,98,76
2016,10,10,93,70,3.6,28,91,76
2016,10,11,93,66,3.8,27,91,76
2016,10,12,91,64,2.9,26,88,80
2016,10,13,90,62,2.7,22,87,83
2016,10,14,93,63,2.9,19,89,84
2016,10,15,92,63,2.9,19,88,80
2016,10,16,89,63,3.1,25,86,85
2016,10,17,87,63,3.8,34,85,80
2016,10,18,87,62,3.1,40,87,81
2016,10,19,91,62,3.8,27,88,83
2016,10,20,95,67,7.4,17,91,78
2016,10,21,94,74,5.8,25,91,75
2016,10,22,95,69,4.7,24,92,76
2016,10,23,93,65,2.9,27,91,75
2016,10,24,88,69,2.7,32,86,80
2016,10,25,88,69,2.9,38,87,86
2016,10,26,93,66,3.6,35,93,74
2016,10,27,96,72,5.4,27,95,77
2016,10,28,90,72,4.5,27,87,85
