"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WDF5","WT01","WT02","WT03","WT07","WT08"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-04","0.00",,"75","49","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-05","0.00",,"81","49","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-06","0.00",,"81","53","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-07","0.00",,"77","50","   20",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-08","0.00",,"79","51","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-09","0.00",,"81","53","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-10","0.00",,"79","51","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-11","0.00",,"79","54","   60",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-12","0.00",,"76","52","  140",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-13","0.00",,"79","51","  120",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-14","0.00",,"82","55","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-15","0.00",,"75","56","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-16","0.00",,"75","50","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-17","0.00",,"74","52","   90",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-18","0.00",,"76","48","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-19","0.00",,"76","50","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-20","0.00",,"75","53","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-21","0.00",,"75","50","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-22","0.00",,"67","48",,,,,,"    1"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-23","0.23",,"63","53","  270",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-24","0.01",,"62","45","  290",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-25","0.00",,"67","42","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-26","0.00",,"73","48","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-27","0.00",,"73","49","  210",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-28","0.01",,"67","54","  200","    1",,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-01","0.03",,"70","58","  160",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-02","0.37",,"62","49","  260","    1",,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-03","0.02",,"63","45","  270",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-04","0.00",,"67","44","  300",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-05","0.00",,"74","45","  100",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-06","0.00",,"80","48","   80",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-07","0.00",,"81","54","   90",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-08","0.00",,,"52","  270",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-09","0.00",,,"54","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-10","0.00",,"83","51","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-11","0.00",,"84","56","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-12","0.00",,"82","66","  310",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-13","0.00",,"85","57","   50",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-14","0.00",,"85","62","  120",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-15","0.00",,"86","62","  130",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-16","0.00",,"87","64","  100",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-17","0.00",,"87","62","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-18","0.01",,"78","60","  200",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-19","1.01",,"67","55","   40","    1",,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-20","0.00",,"77","58","  120",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-21","0.00",,"82","57","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-22","0.00",,"84","57","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-23","0.00",,"82","55","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-24","0.00",,"82","54","  260",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-25","0.00",,"86","55","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-26","0.00",,"87","59","   40",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-27","0.00",,"90","58","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-28","0.00",,"90","57","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-29","0.00",,"92","59","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-30","0.00",,"92","66","  270",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-03-31","0.00",,"91","60","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-01","0.00",,"87","61","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-02","0.00",,"83","58","  210",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-03","0.00",,"83","56","   90",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-04","0.00",,"85","58","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-05","0.00",,"84","56","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-06","0.00",,"82","53","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-07","0.00",,"79","53","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-08","0.00",,"75","53","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-09","0.00",,"78","51","  170",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-10","0.00",,"82","50","  180",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-11","0.00",,"81","54","  210",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-12","0.00",,"82","54","  260",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-13","0.00",,"87","56","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-14","0.00",,"90","61","  270",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-15","0.00",,"81","60","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-16","0.00",,"74","51","  210",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-17","0.00",,"79","52","  210",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-18","0.00",,"87","53","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-19","0.00",,"89","54","  270",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-20","0.00",,"89","58","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-21","0.00",,"87","61","  190",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-22","0.00",,"84","53","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-23","0.00",,"80","53","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-24","0.20",,"72","57","  260",,,"    1",,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-25","0.11",,"77","53","  280",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-26","0.28",,"69","52","  350","    1",,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-27","0.00",,"84","51","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-28","0.00",,"88","62","  130",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-29","0.00",,"91","67","  120",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-04-30","0.00",,"95","65","  260",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-01","0.00",,"98","63","  260",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-02","0.00",,"95","64","  200",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-03","0.00",,"91","69","  170",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-04","0.54",,"83","61","  270","    1",,"    1",,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-05","0.00",,"81","65","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-06","0.00",,"86","63","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-07","0.00",,"83","56","  210",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-08","0.00",,"72","55","  290",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-09","0.00",,"74","50","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-10","0.00",,"85","57","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-11","0.00",,"92","63","  180",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-12","0.00",,"88","65","  130",,,,,"    1"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-13","0.00",,"87","66","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-14","0.00",,"82","67","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-15","0.79",,"68","53","  240","    1",,"    1",,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-16","0.01",,"72","53","  300",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-17","0.00",,"82","60","  170",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-18","0.00",,"86","59","  190",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-19","0.00",,"84","61","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-20","0.00",,"88","61","  200",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-21","0.00",,"86","66","  200",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-22","0.00",,"78","63","  260",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-23","0.00",,"79","59","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-24","0.00",,"82","59","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-25","0.00",,"88","61","  260",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-26","0.00",,"91","63","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-27","0.00",,"92","66","  310",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-28","0.00",,"96","65","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-29","0.00",,"98","66","  270",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-30","0.00",,"102","69","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-05-31","0.00",,"102","71","  260",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-01","0.00",,"101","69","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-02","0.00",,"99","72","  180",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-03","0.00",,"98","66","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-04","0.00",,"93","64","  130",,,"    1",,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-05","0.22",,"84","68","  140",,,"    1",,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-06","0.00",,"94","70","  230",,,"    1",,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-07","0.00",,"97","64","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-08","0.00",,"104","74","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-09","0.00",,"91","81","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-10","0.03",,"92","75","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-11","0.00",,"97","77","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-12","0.00",,"100","71","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-13","0.00",,"102","74","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-14","0.00",,"104","77","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-15","0.00",,"109","77","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-16","0.00",,"109","77","  260",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-17","0.00",,"110","79","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-18","0.00",,"114","81","  210",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-19","0.00",,"109","79","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-20","0.00",,"109","73","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-21","0.00",,"105","81","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-22","0.00",,"106","80","  270",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-23","0.00",,"108","80","  250",,,,,"    1"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-24","0.00",,"110","83","  120",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-25","0.00",,"108","85","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-26","0.00",,"105","85","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-27","0.00",,"106","83","   80",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-28","0.00",,"107","84","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-29","0.00",,"108","86","  280",,,"    1",,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-06-30","0.00",,"105","85","  250",,,"    1",,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-01","0.00",,"103","82","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-02","0.00",,"105","83","  230",,,"    1",,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-03","0.00",,"96","79","   20",,,"    1",,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-04","0.00",,"104","81","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-05","0.00",,"101","82","  170",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-06","0.00",,"102","77","  250",,,"    1",,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-07","0.00",,"104","80","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-08","0.00",,"105","79","  230",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-09","0.00",,"99","74","  240",,,,,"    1"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-10","0.00",,"99","70","  170",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-11","0.00",,"101","80","  190",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-12","0.00",,"102","75","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-13","0.00",,"106","83","  130",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-14","0.00",,"105","86","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-15","0.00",,"102","85","  210",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-16","0.00",,"105","84","  290",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-17","0.00",,"100","83","  270",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-18","0.00",,"98","74","  230",,,,,"    1"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-19",,,"95","75","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-20","0.00",,"99","82","  270",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-21","0.00",,"103","80","  180",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-22","0.00",,"102","82","  220",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-23","0.00",,"101","80","  150",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-24","0.00",,"101","84","  270",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-25","0.00",,"107","81","  270",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-26","0.00",,"108","79","  210",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-07-27","0.00",,"103","79","  240",,,,,
