"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT13","WT14","WT16","WT21"
"USW00023293","SAN JOSE, CA US","2010-02-04","12.30"," 1916"," 1915","0.38",,,,"59","49","  110","  120","30.0","38.9","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-05","9.17"," 1558"," 1534","0.01",,,,"65","49","  180","  160","17.0","23.0",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-06","6.26"," 1603"," 1603","0.38",,,,"59","46","  290","  290","19.9","23.9","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-07","6.93"," 1326"," 1656","0.00",,,,"58","45","  310","  320","14.1","17.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-02-08","2.68"," 2359"," 2359","0.01",,,,"55","43","  120","  130","8.9","13.0",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-09","6.93"," 0142"," 0200","0.20",,,,"57","44","  100","  120","16.1","21.0","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-10","3.80"," 1632"," 1631","0.00",,,,"60","39","  320","  320","16.1","19.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-02-11","5.37"," 1921"," 1437","0.00",,,,"62","40","  120","   80","13.0","21.0",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-12","6.71"," 0901"," 0900","0.00",,,,"64","50","  130","  120","15.0","19.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-02-13","3.36"," 1729"," 1728","0.00",,,,"65","45","  300","  300","10.1","13.0","    1",,,,,,"    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-02-14","1.34"," 1339"," 1338","0.00",,,,"60","45","  300","  270","8.1","10.1","    1",,,,,"    1","    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-02-15","3.58"," 1642"," 0837","0.00",,,,"67","44","  310","  180","15.0","21.9","    1",,,,,"    1","    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-02-16","3.58"," 1517"," 1720","0.00",,,,"66","52","  310","  330","14.1","28.0","    1",,,,,"    1","    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-02-17","1.34"," 1516"," 1423","0.00",,,,"69","47","  300","  290","8.1","13.0","    1","    1",,,,"    1","    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-02-18","4.03"," 2055"," 2038","0.00",,,,"59","46","  320","  320","10.1","13.0","    1",,,,,"    1","    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-02-19","4.25"," 1228"," 1228","0.02",,,,"59","49","  100","  140","14.1","25.1","    1",,,,"    1",,"    1","    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-20","3.36"," 1429"," 1626","0.01",,,,"58","50","  280","  270","15.0","19.9","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-21","5.14"," 1603"," 1548","0.27",,,,"56","49","  260","  230","13.0","17.0","    1",,,,"    1",,"    1","    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-22","5.14"," 1216"," 1235","0.00",,,,"60","45","  320","  350","16.1","25.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-02-23","12.30"," 2222"," 2105","0.34",,,,"53","45","  110","  120","28.0","34.9","    1",,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-24","8.72"," 0025"," 0024","0.01",,,,"64","49","  100","  110","21.9","29.1","    1",,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-25","2.91"," 2304"," 1236","0.00",,,,"67","48","  120","   10","13.0","23.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-02-26","9.84"," 1337"," 1339","0.38",,,,"61","50","  150","  160","28.0","32.0","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-27","6.93"," 1315"," 1314","0.09",,,,"62","48","  320","  320","17.9","21.9","    1",,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-28","4.03"," 1701"," 1704","0.00",,,,"67","44","  300","  290","16.1","17.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-01","6.71"," 2118"," 1028","0.00",,,,"62","48","  180","  330","16.1","25.9","    1",,,,,,"    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-03-02","8.28"," 1043"," 0529","0.49",,,,"59","46","  100","  110","17.0","21.9","    1",,,"    1","    1",,"    1","    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-03-03","6.26"," 0402"," 1519","0.83",,,,"55","43","  120","  270","17.9","23.0","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-03-04","4.70"," 1501"," 1501","0.00",,,,"58","40","  310","  310","17.0","21.9","    1",,,,,,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-03-05","4.47"," 1729"," 1353","0.00",,,,"60","40","  290","  180","14.1","25.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-06","2.46"," 1708"," 1556","0.00",,,,"65","48","  270","  310","10.1","25.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-07","4.47"," 1620"," 1229","0.00",,,,"63","42","  280","  340","15.0","25.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-08","7.83"," 1659"," 1655","0.07",,,,"57","44","  270","  280","25.1","32.0","    1",,,,"    1",,"    1",,,"    1",
"USW00023293","SAN JOSE, CA US","2010-03-09","8.72"," 1518"," 1649","0.00",,,,"56","40","  290","  270","21.9","28.0",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-03-10","7.61"," 0349"," 0349","0.06",,,,"56","42","  270","  270","16.1","21.0","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-03-11","4.25"," 1752"," 1751","0.00",,,,"63","37","  300","  300","13.0","17.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-12","7.83"," 1624"," 1624","0.32",,,,"57","44","  270","  300","21.9","23.9","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-03-13","8.28"," 1700"," 1649","0.00",,,,"57","38","  290","  290","23.0","28.0",,,,,,,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-03-14","5.14"," 1832"," 0628","0.00",,,,"64","39","  320","  330","16.1","28.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-15","2.68"," 1733"," 1733","0.00",,,,"73","42","  310","  300","12.1","13.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-16","3.13"," 1722"," 1226","0.00",,,,"71","48","  310","   70","14.1","31.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-17","3.80"," 1754"," 1759","0.00",,,,"73","51","  300","  320","15.0","17.9",,,,,,,"    1",,,,
"USW00023293","SAN JOSE, CA US","2010-03-18","4.47"," 1315"," 1733","0.00",,,,"75","47","  320","  310","15.0","19.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-19","4.92"," 0238"," 0720","0.00",,,,"81","46","  270","  340","17.9","25.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-20","4.47"," 1413"," 1356","0.00",,,,"74","45","  290","  310","17.0","21.0",,,,,,,"    1",,,,
"USW00023293","SAN JOSE, CA US","2010-03-21","6.04"," 1348"," 2142","0.00",,,,"67","48","  300","  300","17.0","21.0",,,,,,"    1","    1",,,,
"USW00023293","SAN JOSE, CA US","2010-03-22","7.38"," 1746"," 1913","0.00",,,,"67","50","  300","  330","17.9","21.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-23","5.82"," 1740"," 1156","0.00",,,,"74","46","  310","  320","16.1","21.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-24","5.82"," 1424"," 0721","0.00",,,,"70","49","  310","   90","19.9","33.1",,,,,"    1",,"    1",,,"    1",
"USW00023293","SAN JOSE, CA US","2010-03-25","7.83"," 1810"," 1810","0.00",,,,"64","47","  280","  280","21.0","23.9",,,,,,,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-03-26","6.49"," 1808"," 1811","0.00",,,,"64","46","  300","  310","16.1","19.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-27","3.80"," 1744"," 1744","0.00",,,,"74","42","  290","  290","15.0","17.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-28","4.70"," 1734"," 1731","0.00",,,,"75","47","  320","  330","19.9","25.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-29","10.07"," 1509"," 1523","0.00",,,,"69","48","  260","  230","17.9","21.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-03-30","9.17"," 1209"," 1208","0.10",,,,"62","49","  250","  260","21.0","25.9","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-03-31","6.71"," 1637"," 1637","0.18",,,,"59","44","  180","  180","19.9","23.9","    1",,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-04-01","5.37"," 1544"," 1543","0.00",,,,"59","42","  310","  300","21.0","25.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-02","8.50"," 1621"," 1533","0.00",,,,"61","41","  160","  170","19.9","25.9",,,,,,,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-04-03","4.70"," 1607"," 1606","0.00",,,,"58","41","  310","  310","16.1","17.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-04","9.62"," 1315"," 1200","0.39",,,,"56","43","  130","  130","23.0","30.0","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-04-05","5.37"," 1815"," 1814","0.16",,,,"60","44","  320","  330","15.0","19.9","    1",,,"    1","    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-04-06","6.26"," 1532"," 1623","0.00",,,,"63","41","  300","  300","19.9","23.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-07","5.14"," 1619"," 1600","0.00",,,,"71","42","  300","  320","16.1","21.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-08","6.71"," 1433"," 1418","0.00",,,,"64","47","  320","  320","21.0","28.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-09","6.26"," 1424"," 1300","0.00",,,,"71","44","  300","  280","15.0","21.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-10","10.51"," 1127"," 0909","0.00",,,,"60","51","  180","  180","21.0","28.0",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-04-11","15.43"," 0912"," 0912","0.82",,,,"56","47","  120","  120","31.1","38.9","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-04-12","8.72"," 1600"," 1720","0.39",,,,"59","45","  250","  250","15.0","19.9","    1",,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-04-13","4.70"," 1531"," 1530","0.00",,,,"63","45","  310","  320","16.1","21.9",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-04-14","5.59"," 1737"," 1640","0.00",,,,"63","47","  310","  330","17.9","23.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-15","5.14"," 1814"," 1808","0.00",,,,"71","43","  310","  320","17.0","21.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-16","6.04"," 1800"," 1756","0.00",,,,"70","50","  320","  330","16.1","21.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-17","6.26"," 1652"," 1753","0.00",,,,"71","50","  300","  310","17.9","25.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-18","4.03"," 1701"," 1816","0.00",,,,"78","47","  310","  310","15.0","17.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-19","8.72"," 2159"," 2159","0.00",,,,"72","52","  170","  160","23.0","34.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-20","9.84"," 1245"," 1244","0.51",,,,"60","49","  280","  280","25.9","33.1","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-04-21","8.72"," 0116"," 0101","0.59",,,,"54","47","  270","  280","19.9","28.0","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-04-22","5.14"," 1629"," 1239","0.00",,,,"67","46","  320","  290","13.0","17.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-23","6.71"," 1830"," 1829","0.00",,,,"71","49","  310","  300","17.9","23.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-24","5.82"," 1707"," 1707","0.00",,,,"72","47","  320","  330","19.9","23.0",,,,,,,"    1",,,,
"USW00023293","SAN JOSE, CA US","2010-04-25","4.70"," 1752"," 1633","0.00",,,,"79","47","  320","  320","16.1","21.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-26","5.59"," 1649"," 1645","0.00",,,,"74","49","  290","  280","16.1","19.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-27","10.74"," 1452"," 1451","0.08",,,,"66","50","  270","  270","23.0","29.1","    1",,,,"    1","    1","    1",,,"    1",
"USW00023293","SAN JOSE, CA US","2010-04-28","8.50"," 0926"," 0925","0.05",,,,"59","47","  280","  270","21.0","25.1","    1",,,,"    1",,"    1","    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-04-29","10.96"," 1722"," 1602","0.00",,,,"62","48","  290","  280","23.0","31.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-04-30","8.72"," 1513"," 1512","0.00",,,,"68","45","  310","  310","21.0","25.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-01","6.93"," 1603"," 1728","0.00",,,,"70","45","  310","  320","21.9","25.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-02","7.16"," 1737"," 1728","0.00",,,,"76","47","  320","  310","19.9","25.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-03","5.82"," 1620"," 1608","0.00",,,,"82","51","  320","  330","17.9","25.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-04","8.05"," 1817"," 1655","0.00",,,,"76","50","  320","  340","19.9","25.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-05","9.62"," 1741"," 1750","0.00",,,,"67","48","  310","  290","17.9","33.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-06","7.16"," 1731"," 1730","0.00",,,,"73","49","  320","  320","17.9","23.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-07","8.05"," 1522"," 1550","0.00",,,,"70","46","  300","  320","21.0","25.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-08","8.28"," 1635"," 1827","0.00",,,,"68","49","  310","  280","21.0","30.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-09","7.16"," 1232"," 1442","0.03",,,,"64","52","  280","  250","19.9","23.0","    1",,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-05-10","9.62"," 1356"," 1400","0.09",,,,"61","49","  300","  300","25.9","32.0","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-05-11","8.05"," 1730"," 1823","0.00",,,,"67","46","  320","  340","17.0","23.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-12","6.49"," 1543"," 1727","0.00",,,,"74","47","  310","   10","21.0","23.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-13","7.38"," 1723"," 1320","0.00",,,,"74","49","  310","  230","21.0","25.1","    1",,,,,,"    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-05-14","6.71"," 1358"," 1332","0.00",,,,"68","52","  290","  290","17.9","23.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-15","5.82"," 1716"," 1739","0.00",,,,"70","52","  300","  330","16.1","30.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-16","6.49"," 1602"," 1221","0.00",,,,"67","52","  310","   80","17.0","30.0","    1",,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-17","7.83"," 0938"," 0944","0.07",,,,"64","53","  120","  120","16.1","17.9","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-05-18","8.05"," 1731"," 1857","0.00",,,,"70","54","  310","  330","21.9","30.0","    1",,,,,,"    1",,,"    1",
"USW00023293","SAN JOSE, CA US","2010-05-19","6.26"," 2102"," 2101","0.00",,,,"69","51","  300","  300","17.9","21.9",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-05-20","10.74"," 1721"," 1817","0.00",,,,"70","49","  300","  310","21.0","25.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-21","12.30"," 1044"," 1052","0.00",,,,"65","47","  300","  310","23.0","29.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-22","12.75"," 1354"," 1607","0.00",,,,"63","46","  290","  270","21.9","25.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-23","11.18"," 1545"," 1300","0.00",,,,"69","45","  320","  310","21.9","29.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-24","5.14"," 2335"," 1124","0.00",,,,"67","52","  110","  130","12.1","16.1",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-05-25","8.72"," 1632"," 1351","0.12",,,,"64","50","  160","  180","15.0","19.9",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-05-26","6.71"," 1708"," 0615","0.00",,,,"69","53","  320","  210","15.0","17.0",,,,,,,"    1",,,,
"USW00023293","SAN JOSE, CA US","2010-05-27","8.28"," 0942"," 0714","0.04",,,,"66","50","  170","   90","19.9","25.9",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-05-28","8.05"," 1843"," 1406","0.00",,,,"68","45","  320","  310","17.9","31.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-29","7.16"," 1823"," 1821","0.00",,,,"80","50","  320","  310","23.0","29.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-30","6.71"," 1656"," 1748","0.00",,,,"84","51","  310","  340","21.0","23.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-05-31","8.72"," 1545"," 1545","0.00",,,,"74","53","   20","  300","21.0","28.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-01","9.40"," 1510"," 1509","0.00",,,,"71","57","  310","  320","21.9","28.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-02","6.93"," 1510"," 1813","0.00",,,,"81","57","  300","   90","19.9","33.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-03","7.38"," 1639"," 1731","0.00",,,,"80","61","  320","  320","21.9","25.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-04","6.93"," 1734"," 1908","0.00",,,,"83","62","  300","  310","23.0","36.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-05","7.38"," 1710"," 1811","0.00",,,,"85","64","  320","  300","17.9","25.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-06","8.95"," 1455"," 1453","0.00",,,,"81","60","  310","  310","23.9","29.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-07","8.28"," 1631"," 1627","0.00",,,,"72","56","  320","  320","19.9","23.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-08","6.26"," 1401"," 1329","0.00",,,,"71","55","  300","  320","21.9","25.9",,,,,,,"    1",,,,
"USW00023293","SAN JOSE, CA US","2010-06-09","8.95"," 1310"," 1337","0.00",,,,"72","57","  300","  330","21.9","29.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-10","11.63"," 1600"," 1857","0.00",,,,"71","54","  310","  300","23.0","23.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-11","8.50"," 1431"," 1544","0.00",,,,"82","53","  300","  310","21.0","25.9",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-12","8.50"," 1150"," 0945","0.00",,,,"92","57","  320","  330","21.0","29.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-13","7.38"," 1637"," 1735","0.00",,,,"89","60","  310","  310","19.9","23.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-06-14","6.71"," 1701"," 1425","0.00",,,,"77","56","  300","  320","16.1","21.9","    1",,,,,"    1","    1",,,,
"USW00023293","SAN JOSE, CA US","2010-06-15","6.71"," 1547"," 1906","0.00",,,,"71","53","  320","  340","17.0","23.0","    1",,,,,"    1","    1",,,,
"USW00023293","SAN JOSE, CA US","2010-06-16","8.95"," 1725"," 1528","0.00",,,,"80","51","  310","  330","17.9","25.1",,,,,,"    1","    1",,,,
"USW00023293","SAN JOSE, CA US","2010-06-17","6.71"," 1552"," 1609","0.00",,,,"81","53","  300","  310","21.0","23.9",,,,,,,"    1",,,,
