Year,Month,Day,Max Temp (F),Min Temp (F),Average Wind Speed (mph),Relative Humidity (%),Windchill Effect (F),Users Thermostat (F)
2015,5,1,47,32,0.7,87,50,60
2015,5,2,53,30,0.4,79,53,63
2015,5,3,64,32,0.9,87,64,60
2015,5,4,71,37,0.7,84,71,71
2015,5,5,68,44,0.7,86,68,68
2015,5,6,61,40,0.7,78,61,62
2015,5,7,64,35,0.7,80,64,64
2015,5,8,54,33,0.4,71,54,64
2015,5,9,55,31,0.7,77,55,61
2015,5,10,78,48,0.4,96,78,78
2015,5,11,59,43,0.4,86,59,64
2015,5,12,59,40,0.7,96,59,60
2015,5,13,58,38,1.1,90,58,62
2015,5,14,64,38,0.7,78,64,63
2015,5,15,72,40,0.9,73,72,72
2015,5,16,72,42,0.4,75,72,72
2015,5,17,55,42,0.4,92,55,63
2015,5,18,65,38,0.7,76,65,65
2015,5,19,67,43,0.7,80,67,67
2015,5,20,58,44,0.7,94,58,64
2015,5,21,69,43,0.9,78,69,69
2015,5,22,48,41,0.7,96,51,65
2015,5,23,49,38,1.1,83,51,64
2015,5,24,64,37,0.9,86,64,65
2015,5,25,80,48,0.7,84,80,80
2015,5,26,59,50,0.7,97,59,62
2015,5,27,79,50,0.7,90,79,79
2015,5,28,74,53,0.7,94,74,74
2015,5,29,74,50,0.4,91,74,74
2015,5,30,73,49,0.7,90,73,73
2015,5,31,72,42,0.7,96,72,72
2015,6,1,48,42,0.7,95,51,65
2015,6,2,43,41,0.9,98,45,68
2015,6,3,55,41,0.9,91,55,60
2015,6,4,63,39,0.7,83,63,61
2015,6,5,61,39,0.4,87,61,62
2015,6,6,53,40,0.7,98,53,60
2015,6,7,62,40,0.9,79,62,63
2015,6,8,69,42,0.9,81,69,69
2015,6,9,70,54,0.9,94,70,70
2015,6,10,62,50,0.7,96,62,61
2015,6,11,70,48,0.7,89,70,70
2015,6,12,79,56,0.7,89,79,79
2015,6,13,74,56,0.7,90,74,74
2015,6,14,60,44,0.9,84,60,65
2015,6,15,71,45,0.7,78,71,71
2015,6,16,62,46,0.7,93,62,63
2015,6,17,68,51,0.9,82,68,68
2015,6,18,71,47,0.7,84,71,71
2015,6,19,57,47,0.7,96,57,65
2015,6,20,70,50,0.7,82,70,70
2015,6,21,63,48,0.9,91,63,60
2015,6,22,61,51,0.9,94,61,63
2015,6,23,64,50,0.7,89,64,62
2015,6,24,72,54,0.7,88,72,72
2015,6,25,73,53,0.7,83,73,73
2015,6,26,66,46,0.4,86,66,66
2015,6,27,67,42,0.7,82,67,67
2015,6,28,57,46,0.9,93,57,61
2015,6,29,72,54,0.7,92,72,72
2015,6,30,74,53,0.7,90,74,74
2015,7,1,73,54,0.4,89,73,73
2015,7,2,76,57,0.7,92,76,76
2015,7,3,77,56,0.7,87,77,77
2015,7,4,80,55,0.7,87,80,80
2015,7,5,79,58,0.4,84,79,79
2015,7,6,78,56,0.4,85,78,78
2015,7,7,79,58,0.7,88,79,79
2015,7,8,76,59,0.7,95,76,76
2015,7,9,76,56,0.4,88,76,76
2015,7,10,74,56,0.4,82,74,74
2015,7,11,79,56,0.7,85,79,79
2015,7,12,77,56,0.7,90,77,77
2015,7,13,86,60,0.4,86,86,84
2015,7,14,79,58,0.7,90,79,79
2015,7,15,78,59,0.4,95,78,78
2015,7,16,72,53,0.9,83,72,72
2015,7,17,74,53,0.9,79,74,74
2015,7,18,72,55,0.4,88,72,72
2015,7,19,63,56,0.7,100,63,60
2015,7,20,70,61,0.4,99,70,70
2015,7,21,64,58,0.7,95,64,61
2015,7,22,69,59,0.4,96,69,69
2015,7,23,74,56,0.7,92,74,74
2015,7,24,67,53,0.7,97,67,67
2015,7,25,62,54,0.4,96,62,63
2015,7,26,67,53,0.7,94,67,67
2015,7,27,69,58,0.7,97,69,69
2015,7,28,70,63,0.4,99,70,70
2015,7,29,78,57,0.4,91,78,78
2015,7,30,79,55,0.4,86,79,79
2015,7,31,81,62,0.7,96,81,79
2015,8,1,82,60,0.4,88,82,82
2015,8,2,81,60,0.7,87,81,84
2015,8,3,81,59,0.7,87,81,81
2015,8,4,79,64,0.7,96,79,79
2015,8,5,80,58,0.4,91,80,80
2015,8,6,76,58,0.7,85,76,76
2015,8,7,77,58,0.7,86,77,77
2015,8,8,72,56,0.7,97,72,72
2015,8,9,64,58,0.7,99,64,63
2015,8,10,72,57,1.1,90,72,72
2015,8,11,73,55,0.9,88,73,73
2015,8,12,72,63,0.7,99,72,72
2015,8,13,75,63,0.4,94,75,75
2015,8,14,80,61,0.7,88,80,80
2015,8,15,80,59,0.7,91,80,80
2015,8,16,83,61,0.4,91,83,80
2015,8,17,85,63,0.4,89,85,83
2015,8,18,84,62,0.4,90,84,80
2015,8,19,85,63,0.4,90,85,81
2015,8,20,80,63,0.4,91,80,80
2015,8,21,79,69,0.7,96,79,79
2015,8,22,76,71,0.4,98,76,76
2015,8,23,79,69,0.4,94,79,79
2015,8,24,77,63,0.7,93,77,77
2015,8,25,82,63,0.4,89,82,83
2015,8,26,67,62,0.7,94,67,67
2015,8,27,72,61,0.7,98,72,72
2015,8,28,75,59,0.7,86,75,75
2015,8,29,79,59,0.7,87,79,79
2015,8,30,77,60,0.4,89,77,77
2015,8,31,78,59,0.7,88,78,78
2015,9,1,66,51,1.1,83,66,66
2015,9,2,75,49,0.9,85,75,75
2015,9,3,81,52,0.7,88,81,80
2015,9,4,68,48,0.9,82,68,68
2015,9,5,76,46,0.7,82,76,76
2015,9,6,85,59,0.4,87,85,84
2015,9,7,81,58,0.9,88,81,83
2015,9,8,75,58,0.7,95,75,75
2015,9,9,67,58,0.7,93,67,67
2015,9,10,77,66,0.4,98,77,77
2015,9,11,75,60,0.7,97,75,75
2015,9,12,70,55,0.7,97,70,70
2015,9,13,63,56,0.4,95,63,61
2015,9,14,75,55,0.7,97,75,75
2015,9,15,68,57,0.7,92,68,68
2015,9,16,74,54,0.9,90,74,74
2015,9,17,83,54,0.7,89,83,80
2015,9,18,83,62,0.7,89,83,82
2015,9,19,74,59,0.7,90,74,74
2015,9,20,76,52,0.7,94,76,76
2015,9,21,66,45,0.9,80,66,66
2015,9,22,66,45,0.9,85,66,66
2015,9,23,71,51,0.7,82,71,71
2015,9,24,68,45,0.9,80,68,68
2015,9,25,62,44,0.9,72,62,65
2015,9,26,58,42,1.1,73,58,61
2015,9,27,66,41,1.1,77,66,66
2015,9,28,72,49,0.9,86,72,72
2015,9,29,75,62,0.7,93,75,75
2015,9,30,74,65,0.7,97,74,74
2015,10,1,70,48,1.1,100,70,70
2015,10,2,49,47,1.1,98,51,62
2015,10,3,50,37,1.1,92,52,63
2015,10,4,62,35,0.9,85,62,64
2015,10,5,64,42,0.7,89,64,63
2015,10,6,60,49,0.4,95,60,64
2015,10,7,65,47,0.9,90,65,65
2015,10,8,57,42,0.9,84,57,63
2015,10,9,58,38,0.9,79,58,63
2015,10,10,58,36,1.1,83,58,62
2015,10,11,54,37,0.9,89,54,64
2015,10,12,71,49,0.7,93,71,71
2015,10,13,66,51,0.4,100,66,66
2015,10,14,73,51,0.7,93,73,73
2015,10,15,61,38,0.9,85,61,63
2015,10,16,65,36,1.1,90,65,65
2015,10,17,52,34,0.7,83,52,60
2015,10,18,44,29,0.9,81,46,63
2015,10,19,40,29,0.9,78,42,67
2015,10,20,56,33,0.9,92,56,61
2015,10,21,51,34,1.1,78,51,64
2015,10,22,58,31,1.1,82,58,63
2015,10,23,55,32,0.9,84,55,62
2015,10,24,53,38,0.7,87,53,65
2015,10,25,57,42,0.9,95,57,65
2015,10,26,50,31,1.1,86,52,64
2015,10,27,45,27,0.9,80,47,64
2015,10,28,48,33,0.7,85,51,62
2015,10,29,64,44,1.1,98,64,62
2015,10,30,55,36,1.3,78,55,60
2015,10,31,47,32,0.9,78,50,65
2015,11,1,53,36,0.7,96,53,63
2015,11,2,56,40,0.9,93,56,61
2015,11,3,43,37,0.7,95,46,62
2015,11,4,45,34,0.9,92,47,64
2015,11,5,45,36,0.4,93,49,64
2015,11,6,59,42,0.7,99,59,62
2015,11,7,61,40,0.9,82,61,60
2015,11,8,42,33,1.3,69,43,69
2015,11,9,53,32,0.9,84,53,64
2015,11,10,56,37,0.9,92,56,64
2015,11,11,45,38,0.9,91,47,60
2015,11,12,48,39,0.4,93,52,64
2015,11,13,57,43,0.7,99,57,64
2015,11,14,49,37,1.1,92,51,60
2015,11,15,40,36,1.3,84,41,67
2015,11,16,44,32,0.9,91,46,65
2015,11,17,38,29,0.9,88,40,69
2015,11,18,35,31,0.9,82,37,70
2015,11,19,42,30,0.9,89,44,67
2015,11,20,46,42,0.9,91,49,60
2015,11,21,51,45,0.4,99,51,63
2015,11,22,59,49,0.7,100,59,65
2015,11,23,59,33,1.1,99,59,63
2015,11,24,33,24,1.1,72,34,68
2015,11,25,32,21,1.1,69,33,66
2015,11,26,43,23,0.9,81,45,67
2015,11,27,55,42,0.9,95,55,65
2015,11,28,49,31,0.7,97,52,62
2015,11,29,32,20,0.9,76,34,70
2015,11,30,26,18,0.7,61,29,67
2015,12,1,36,24,0.9,81,38,70
2015,12,2,49,31,0.7,100,52,64
2015,12,3,50,32,0.7,100,53,61
2015,12,4,33,26,1.1,81,34,66
2015,12,5,35,28,0.9,93,37,69
2015,12,6,49,35,0.7,100,52,62
2015,12,7,51,30,0.7,97,51,63
2015,12,8,37,26,0.7,91,40,68
2015,12,9,39,29,0.9,92,41,69
2015,12,10,42,35,0.9,97,44,70
2015,12,11,54,40,0.4,100,54,62
2015,12,12,51,37,0.7,98,51,65
2015,12,13,42,29,0.9,86,44,67
2015,12,14,32,28,0.4,89,37,66
2015,12,15,38,31,1.6,99,38,66
2015,12,16,35,28,1.1,92,36,70
2015,12,17,44,26,0.7,90,47,60
2015,12,18,53,44,0.4,100,53,61
2015,12,19,49,27,1.3,80,51,60
2015,12,20,29,22,1.3,66,29,68
2015,12,21,45,23,0.7,88,48,63
2015,12,22,42,32,0.7,100,45,69
2015,12,23,40,33,0.7,99,43,67
2015,12,24,55,37,0.9,100,55,61
2015,12,25,54,41,0.4,99,54,61
2015,12,26,41,30,0.7,87,44,69
2015,12,27,33,27,0.7,90,36,70
2015,12,28,27,6,1.1,80,28,66
2015,12,29,20,5,0.7,74,22,69
2015,12,30,28,18,0.9,85,30,67
2015,12,31,37,26,0.7,92,40,67
2016,1,1,33,24,0.9,91,35,69
2016,1,2,34,23,0.9,89,36,66
2016,1,3,37,28,0.7,94,40,68
2016,1,4,31,10,0.9,89,33,66
2016,1,5,17,6,1.3,81,17,67
2016,1,6,33,12,1.3,88,34,66
2016,1,7,35,22,1.1,89,36,68
2016,1,8,28,18,0.9,85,30,66
2016,1,9,28,22,0.9,85,30,67
2016,1,10,44,26,0.9,95,46,64
2016,1,11,49,24,1.1,93,51,63
2016,1,12,29,20,0.9,61,31,69
2016,1,13,34,21,1.3,88,35,70
2016,1,14,21,11,1.1,77,22,67
2016,1,15,22,11,1.3,77,22,68
2016,1,16,26,14,1.1,83,27,66
2016,1,17,32,24,0.9,91,34,69
2016,1,18,28,18,0.7,90,31,68
2016,1,19,18,11,1.1,87,18,70
2016,1,20,28,17,1.3,87,28,68
2016,1,21,22,14,1.1,86,23,67
2016,1,22,20,10,0.9,86,21,70
2016,1,23,20,7,0.7,86,22,67
2016,1,24,27,14,0.9,87,29,66
2016,1,25,28,14,1.3,85,28,68
2016,1,26,43,18,1.1,93,45,68
2016,1,27,42,23,0.7,98,45,67
2016,1,28,34,17,0.7,77,37,70
2016,1,29,34,30,0.9,97,36,68
2016,1,30,30,24,1.1,85,31,70
2016,1,31,38,27,0.4,96,43,66
2016,2,1,44,34,0.7,100,47,65
2016,2,2,36,17,0.9,79,38,67
2016,2,3,42,12,0.9,73,44,68
2016,2,4,50,41,0.9,100,53,60
2016,2,5,41,24,0.9,98,43,67
2016,2,6,27,18,1.1,76,28,69
2016,2,7,40,16,1.1,84,42,67
2016,2,8,24,15,1.3,75,24,66
2016,2,9,28,22,0.9,88,30,68
2016,2,10,29,17,0.9,88,31,66
2016,2,11,31,17,0.9,91,33,66
2016,2,12,21,7,1.1,85,22,70
2016,2,13,15,7,0.9,83,16,67
2016,2,14,13,2,1.1,85,13,70
2016,2,15,21,1,1.3,84,21,70
2016,2,16,51,16,1.1,94,51,64
2016,2,17,53,30,0.9,99,53,60
2016,2,18,37,24,0.7,80,40,67
2016,2,19,32,19,0.9,65,34,70
2016,2,20,44,21,1.1,86,46,65
2016,2,21,44,35,0.7,100,47,63
2016,2,22,35,16,0.9,73,37,70
2016,2,23,29,11,0.7,56,32,69
2016,2,24,45,18,0.9,91,47,63
2016,2,25,56,40,1.1,100,56,62
2016,2,26,41,24,1.1,89,43,68
2016,2,27,32,18,1.1,63,33,67
2016,2,28,46,28,0.9,88,49,65
2016,3,1,42,23,1.1,78,44,67
2016,3,2,50,20,1.3,85,52,62
2016,3,3,33,13,1.8,64,32,68
2016,3,4,27,9,0.9,58,29,67
2016,3,5,25,15,1.8,81,24,66
2016,3,6,29,12,1.1,74,30,68
2016,3,7,37,22,1.1,83,38,70
2016,3,8,42,23,0.9,83,44,66
2016,3,9,41,21,0.9,88,43,69
2016,3,10,44,28,0.7,91,47,64
2016,3,11,30,24,1.1,84,31,69
2016,3,12,34,20,0.9,83,36,69
2016,3,13,41,24,1.3,81,42,68
2016,3,14,36,20,0.9,62,38,70
2016,3,15,35,19,0.9,81,37,68
2016,3,16,48,33,0.7,99,51,64
2016,3,17,37,28,0.4,95,42,69
2016,3,18,39,23,0.7,96,42,68
2016,3,19,30,18,1.1,63,31,69
2016,3,20,32,15,0.9,58,34,68
2016,3,21,38,21,1.1,89,40,68
2016,3,22,30,24,1.8,74,29,69
2016,3,23,40,22,0.9,92,42,70
2016,3,24,26,15,0.9,64,28,66
2016,3,25,49,26,0.9,91,52,60
2016,3,26,38,21,1.1,82,40,67
2016,3,27,39,21,0.4,76,44,70
2016,3,28,48,29,0.7,97,51,60
2016,3,29,46,28,1.6,89,47,62
2016,3,30,46,26,0.9,70,49,64
2016,3,31,63,35,0.9,92,63,65
2016,4,1,56,48,1.1,99,56,63
2016,4,2,51,42,0.4,97,51,61
2016,4,3,43,20,0.9,87,45,69
2016,4,4,31,16,1.3,53,32,69
2016,4,5,28,15,1.1,64,29,68
2016,4,6,31,14,1.1,60,32,66
2016,4,7,53,29,1.3,88,53,63
2016,4,8,51,43,1.1,99,51,63
2016,4,9,49,32,0.4,90,53,64
2016,4,10,34,27,1.3,84,35,67
2016,4,11,43,25,0.9,82,45,67
2016,4,12,55,43,1.1,99,55,60
2016,4,13,52,30,0.7,89,52,62
2016,4,14,44,29,1.1,81,46,65
2016,4,15,35,30,1.6,90,35,69
2016,4,16,38,30,1.3,87,39,67
2016,4,17,53,28,0.4,78,53,65
2016,4,18,47,27,0.7,78,50,60
2016,4,19,47,26,0.4,73,51,61
2016,4,20,48,27,1.1,74,50,60
2016,4,21,66,32,0.9,79,66,66
2016,4,22,69,36,0.7,79,69,69
2016,4,23,61,40,0.7,88,61,64
2016,4,24,47,29,1.1,77,49,61
2016,4,25,47,28,0.9,74,50,63
2016,4,26,46,28,0.4,78,50,65
2016,4,27,52,28,0.7,76,52,60
2016,4,28,40,28,1.1,73,42,66
2016,4,29,50,27,0.7,66,53,64
2016,4,30,57,30,0.4,72,57,62
2016,5,1,59,32,0.7,72,59,61
2016,5,2,55,36,0.7,78,55,61
2016,5,3,52,38,0.7,96,52,60
2016,5,4,50,36,0.7,86,53,65
2016,5,5,46,38,0.7,98,49,65
2016,5,6,52,40,0.4,97,52,62
2016,5,7,57,40,0.4,93,57,63
2016,5,8,65,46,0.4,95,65,65
2016,5,9,54,39,1.3,75,54,63
2016,5,10,55,39,0.9,80,55,60
2016,5,11,57,39,0.9,77,57,60
2016,5,12,62,36,0.9,79,62,64
2016,5,13,59,34,0.7,77,59,62
2016,5,14,64,44,0.4,98,64,64
2016,5,15,62,44,0.7,94,62,64
2016,5,16,50,38,1.3,83,52,60
2016,5,17,58,40,0.9,85,58,64
2016,5,18,67,42,0.7,76,67,67
2016,5,19,66,41,0.7,78,66,66
2016,5,20,66,45,0.7,86,66,66
2016,5,21,79,54,0.7,80,79,79
2016,5,22,62,51,0.7,89,62,65
2016,5,23,57,44,0.7,95,57,60
2016,5,24,64,42,0.4,96,64,60
2016,5,25,70,48,0.4,92,70,70
2016,5,26,69,43,0.7,93,69,69
2016,5,27,55,42,0.4,88,55,63
2016,5,28,67,42,0.7,90,67,67
2016,5,29,63,42,0.4,82,63,60
2016,5,30,60,45,0.7,99,60,62
2016,5,31,75,55,0.4,93,75,75
2016,6,1,62,38,0.7,83,62,62
2016,6,2,57,35,0.4,81,57,61
2016,6,3,58,44,0.4,93,58,61
2016,6,4,69,47,0.2,92,69,69
2016,6,5,71,48,0.4,93,71,71
2016,6,6,55,48,0.7,98,55,63
2016,6,7,64,51,0.4,93,64,60
2016,6,8,67,52,0.7,94,67,67
2016,6,9,58,45,0.7,90,58,60
2016,6,10,56,45,0.7,91,56,60
2016,6,11,69,49,0.4,88,69,69
2016,6,12,56,51,0.4,97,56,65
2016,6,13,57,50,0.4,94,57,61
2016,6,14,52,47,0.7,96,52,60
2016,6,15,56,47,0.4,92,56,64
2016,6,16,55,44,0.4,87,55,63
2016,6,17,65,41,0.7,76,65,65
2016,6,18,74,43,0.4,74,74,74
2016,6,19,80,54,0.7,74,80,80
2016,6,20,74,50,0.7,78,74,74
2016,6,21,71,53,0.7,90,71,71
2016,6,22,74,55,0.4,89,74,74
2016,6,23,74,54,0.7,87,74,74
2016,6,24,73,51,0.7,82,73,73
2016,6,25,75,54,0.7,80,75,75
2016,6,26,79,51,0.4,84,79,79
2016,6,27,78,57,0.7,87,78,78
2016,6,28,77,56,0.7,87,77,77
2016,6,29,69,36,0.7,99,69,69
2016,6,30,80,62,0.4,94,80,80
2016,7,1,80,56,0.4,86,80,80
2016,7,2,67,54,0.7,96,67,67
2016,7,3,72,55,0.9,81,72,72
2016,7,4,81,54,0.7,82,81,79
2016,7,5,80,59,0.7,86,80,80
2016,7,6,72,51,0.7,88,72,72
2016,7,7,61,51,0.4,91,61,64
2016,7,8,60,51,0.7,93,60,61
2016,7,9,63,51,0.4,87,63,62
2016,7,10,57,53,0.4,96,57,61
2016,7,11,69,54,0.9,90,69,69
2016,7,12,83,55,0.4,85,83,82
2016,7,13,79,58,0.4,85,79,79
2016,7,14,77,58,0.9,88,77,77
2016,7,15,83,63,0.7,91,83,84
2016,7,16,86,62,0.4,88,86,83
2016,7,17,78,61,0.4,93,78,78
2016,7,18,74,62,0.7,92,74,74
2016,7,19,79,58,0.7,87,79,79
2016,7,20,75,55,0.9,82,75,75
2016,7,21,82,58,0.7,85,82,79
2016,7,22,76,59,0.7,92,76,76
2016,7,23,79,60,0.4,92,79,79
2016,7,24,85,59,0.2,85,85,79
2016,7,25,84,62,0.4,88,84,84
2016,7,26,73,61,0.7,95,73,73
2016,7,27,83,64,0.4,85,83,81
2016,7,28,83,61,0.7,86,83,80
2016,7,29,81,62,0.4,93,81,82
2016,7,30,82,65,0.7,88,82,84
2016,7,31,81,61,0.4,82,81,82
2016,8,1,80,57,0.7,81,80,80
2016,8,2,78,55,0.7,83,78,78
2016,8,3,77,51,0.7,81,77,77
2016,8,4,76,57,0.7,85,76,76
2016,8,5,81,59,0.9,85,81,81
2016,8,6,76,64,0.9,88,76,76
2016,8,7,81,62,0.7,85,81,79
2016,8,8,76,59,0.9,81,76,76
2016,8,9,74,54,0.9,80,74,74
2016,8,10,82,56,0.7,80,82,83
2016,8,11,84,63,0.4,89,84,83
2016,8,12,78,59,0.4,93,78,78
2016,8,13,74,56,0.4,81,74,74
2016,8,14,65,60,0.4,96,65,65
2016,8,15,71,59,0.4,91,71,71
2016,8,16,79,57,0.4,84,79,79
2016,8,17,73,58,0.9,98,73,73
2016,8,18,80,60,0.7,86,80,80
2016,8,19,77,58,0.7,82,77,77
2016,8,20,73,56,0.4,89,73,73
2016,8,21,74,60,0.7,89,74,74
2016,8,22,80,62,0.7,96,80,80
2016,8,23,74,56,1.1,81,74,74
2016,8,24,80,56,0.7,87,80,80
2016,8,25,80,59,0.9,91,80,80
2016,8,26,72,62,0.7,93,72,72
2016,8,27,75,54,0.7,86,75,75
2016,8,28,74,53,0.4,77,74,74
2016,8,29,72,58,0.9,94,72,72
2016,8,30,73,56,0.7,80,73,73
2016,8,31,77,58,0.7,87,77,77
2016,9,1,73,61,0.4,96,73,73
2016,9,2,64,50,1.1,89,64,60
2016,9,3,69,36,0.9,80,69,69
2016,9,4,70,49,0.7,78,70,70
2016,9,5,71,50,0.9,82,71,71
2016,9,6,78,66,0.4,97,78,78
2016,9,7,83,66,0.4,90,83,83
2016,9,8,80,65,0.7,91,80,80
2016,9,9,76,63,0.7,95,76,76
2016,9,10,79,60,0.4,84,79,79
2016,9,11,76,56,1.1,92,76,76
2016,9,12,70,51,1.1,74,70,70
2016,9,13,78,52,0.9,84,78,78
2016,9,14,74,53,0.9,87,74,74
2016,9,15,62,47,1.1,77,62,64
2016,9,16,67,45,1.1,76,67,67
2016,9,17,70,46,0.9,85,70,70
2016,9,18,74,56,0.9,91,74,74
2016,9,19,72,63,0.4,99,72,72
2016,9,20,74,62,0.4,96,74,74
2016,9,21,75,59,0.7,83,75,75
2016,9,22,72,53,0.9,80,72,72
2016,9,23,53,52,0.9,94,53,63
2016,9,24,60,42,0.9,79,60,62
2016,9,25,54,40,0.9,89,54,60
2016,9,26,57,42,0.9,84,57,61
2016,9,27,55,42,0.7,95,55,65
2016,9,28,56,49,0.9,91,56,65
2016,9,29,60,42,1.1,85,60,63
2016,9,30,64,40,1.1,75,64,64
2016,10,1,65,45,0.7,74,65,65
2016,10,2,55,50,0.9,96,55,61
2016,10,3,57,38,0.9,91,57,63
2016,10,4,58,35,1.1,82,58,61
2016,10,5,65,40,0.9,87,65,65
2016,10,6,69,46,0.7,89,69,69
2016,10,7,73,49,0.7,87,73,73
2016,10,8,72,50,0.9,87,72,72
2016,10,9,69,50,0.4,96,69,69
2016,10,10,50,44,2,95,51,64
2016,10,11,54,40,1.1,80,54,65
2016,10,12,62,40,1.1,85,62,60
2016,10,13,65,45,0.7,96,65,65
2016,10,14,60,37,0.9,89,60,63
2016,10,15,52,36,0.9,85,52,63
2016,10,16,57,34,0.9,81,57,61
2016,10,17,64,43,0.7,92,64,63
2016,10,18,59,43,0.7,89,59,64
2016,10,19,68,48,0.7,99,68,68
2016,10,20,59,42,0.9,86,59,62
2016,10,21,65,47,0.9,97,65,65
2016,10,22,68,57,0.9,100,68,68
