,Year,Month,Day,Max Temp (F),Min Temp (F),Average Wind Speed (mph),Relative Humidity (%),Heat Index (F),Users Thermostat (F)
91,2015,4,2,73.0,60.0,8.7,20,72,72
92,2015,4,3,70.0,53.0,6.0,14,68,68
93,2015,4,4,79.0,47.0,4.3,14,78,78
94,2015,4,5,78.0,60.0,10.3,22,78,78
95,2015,4,6,72.0,55.0,9.4,32,71,71
96,2015,4,7,71.0,53.0,12.1,38,70,70
97,2015,4,8,68.0,49.0,6.3,34,67,67
98,2015,4,9,71.0,48.0,3.8,25,70,70
99,2015,4,10,76.0,51.0,3.8,19,75,75
100,2015,4,11,81.0,52.0,3.4,19,79,79
101,2015,4,12,86.0,60.0,4.5,17,83,82
102,2015,4,13,89.0,57.0,4.9,17,85,84
103,2015,4,14,85.0,54.0,13.9,20,82,80
104,2015,4,15,67.0,49.0,10.7,17,66,66
105,2015,4,16,73.0,50.0,5.1,22,72,72
106,2015,4,17,81.0,52.0,3.8,22,79,79
107,2015,4,18,86.0,56.0,3.1,16,83,82
108,2015,4,19,87.0,61.0,2.9,15,83,79
109,2015,4,20,89.0,61.0,4.5,15,85,79
110,2015,4,21,84.0,60.0,6.3,20,81,79
111,2015,4,22,79.0,57.0,5.4,34,78,78
112,2015,4,23,77.0,56.0,5.8,34,76,76
113,2015,4,24,79.0,53.0,12.5,53,79,79
114,2015,4,25,72.0,52.0,10.3,56,72,72
115,2015,4,26,74.0,55.0,10.3,30,74,74
116,2015,4,27,81.0,59.0,6.9,23,79,79
117,2015,4,28,86.0,62.0,3.6,25,83,82
118,2015,4,29,92.0,62.0,5.4,24,89,83
119,2015,4,30,94.0,66.0,3.4,23,91,74
120,2015,5,1,95.0,67.0,4.7,24,92,74
121,2015,5,2,93.0,67.0,6.5,20,89,80
122,2015,5,3,90.0,65.0,7.2,24,87,85
123,2015,5,4,81.0,66.0,4.0,42,81,79
124,2015,5,5,86.0,61.0,6.5,44,86,84
125,2015,5,6,85.0,63.0,9.4,32,83,82
126,2015,5,7,79.0,58.0,12.5,38,78,78
127,2015,5,8,64.0,51.0,6.3,50,63,63
128,2015,5,9,73.0,50.0,3.4,44,72,72
129,2015,5,10,82.0,56.0,3.8,35,81,80
130,2015,5,11,88.0,60.0,6.3,24,85,84
131,2015,5,12,87.0,66.0,9.8,22,84,80
132,2015,5,13,85.0,65.0,9.2,23,82,81
133,2015,5,14,74.0,57.0,10.3,37,74,74
134,2015,5,15,70.0,53.0,8.5,48,70,70
135,2015,5,16,77.0,51.0,5.4,41,76,76
136,2015,5,17,80.0,58.0,6.3,40,80,79
137,2015,5,18,72.0,60.0,4.3,43,72,72
138,2015,5,19,82.0,54.0,4.3,42,82,80
139,2015,5,20,83.0,61.0,6.3,34,82,80
140,2015,5,21,82.0,62.0,4.3,35,81,79
141,2015,5,22,75.0,57.0,5.6,48,74,74
142,2015,5,23,80.0,58.0,6.0,48,81,79
143,2015,5,24,81.0,62.0,2.5,46,81,80
144,2015,5,25,86.0,60.0,2.9,48,87,81
145,2015,5,26,91.0,69.0,6.5,32,90,78
146,2015,5,27,92.0,69.0,5.1,26,89,84
147,2015,5,28,96.0,70.0,3.4,24,94,76
148,2015,5,29,98.0,74.0,4.0,20,95,78
149,2015,5,30,101.0,72.0,5.6,16,97,78
150,2015,5,31,104.0,72.0,6.9,18,102,75
151,2015,6,1,97.0,77.0,10.3,17,93,74
152,2015,6,2,95.0,69.0,6.9,24,92,78
153,2015,6,3,93.0,69.0,7.6,24,90,78
154,2015,6,4,91.0,72.0,7.6,22,88,82
155,2015,6,5,90.0,67.0,7.2,21,86,79
156,2015,6,6,90.0,69.0,2.7,22,87,83
157,2015,6,7,93.0,70.0,4.7,27,91,75
158,2015,6,8,99.0,74.0,3.6,20,96,76
159,2015,6,9,92.0,76.0,3.6,27,90,76
160,2015,6,10,96.0,72.0,5.1,40,101,78
161,2015,6,11,96.0,74.0,3.4,36,99,77
162,2015,6,12,100.0,78.0,4.3,30,102,76
163,2015,6,13,103.0,81.0,3.6,25,104,76
164,2015,6,14,105.0,80.0,4.7,24,107,78
165,2015,6,15,108.0,79.0,7.8,16,106,75
166,2015,6,16,107.0,81.0,8.5,8,96,75
167,2015,6,17,108.0,73.0,7.2,8,97,74
168,2015,6,18,106.0,76.0,7.4,8,95,75
169,2015,6,19,109.0,76.0,3.8,9,99,78
170,2015,6,20,112.0,80.0,5.8,8,105,74
171,2015,6,21,110.0,82.0,11.6,11,103,76
172,2015,6,22,107.0,79.0,8.1,9,97,76
173,2015,6,23,107.0,76.0,5.4,8,96,77
174,2015,6,24,109.0,75.0,5.1,11,102,77
175,2015,6,25,110.0,78.0,4.7,11,103,76
176,2015,6,26,111.0,88.0,4.5,14,109,75
177,2015,6,27,111.0,87.0,5.8,15,109,78
178,2015,6,28,108.0,87.0,9.4,22,110,74
179,2015,6,29,109.0,89.0,4.5,23,113,77
180,2015,6,30,110.0,92.0,5.6,23,115,78
181,2015,7,1,106.0,87.0,8.3,32,116,75
182,2015,7,2,103.0,81.0,3.8,37,114,76
183,2015,7,3,108.0,86.0,4.5,30,118,74
184,2015,7,4,101.0,89.0,4.9,34,107,78
185,2015,7,5,103.0,85.0,5.4,31,108,75
186,2015,7,6,99.0,75.0,3.6,36,104,78
187,2015,7,7,99.0,75.0,3.8,44,110,78
188,2015,7,8,102.0,82.0,7.8,29,105,76
189,2015,7,9,94.0,77.0,8.3,35,95,75
190,2015,7,10,93.0,71.0,7.4,33,93,78
191,2015,7,11,96.0,72.0,7.4,28,95,78
192,2015,7,12,99.0,74.0,5.4,27,99,75
193,2015,7,13,103.0,75.0,5.6,20,101,78
194,2015,7,14,104.0,75.0,7.6,19,102,77
195,2015,7,15,102.0,73.0,7.4,16,98,74
196,2015,7,16,104.0,75.0,6.5,16,101,78
197,2015,7,17,105.0,76.0,8.9,17,103,76
198,2015,7,18,95.0,76.0,8.9,44,101,76
199,2015,7,19,93.0,73.0,4.5,54,103,75
200,2015,7,20,85.0,72.0,3.1,66,91,74
201,2015,7,21,98.0,74.0,3.4,47,110,76
202,2015,7,22,101.0,78.0,8.9,32,105,76
203,2015,7,23,100.0,76.0,8.3,33,104,74
204,2015,7,24,100.0,77.0,7.2,29,102,77
205,2015,7,25,103.0,73.0,5.6,20,101,75
206,2015,7,26,103.0,73.0,7.8,18,101,74
207,2015,7,27,101.0,79.0,6.7,18,98,75
208,2015,7,28,102.0,78.0,4.0,16,98,77
209,2015,7,29,102.0,76.0,5.8,25,103,76
210,2015,7,30,104.0,84.0,3.1,32,111,75
211,2015,7,31,105.0,87.0,3.4,38,119,74
212,2015,8,1,92.0,76.0,4.3,52,100,75
213,2015,8,2,102.0,71.0,4.3,39,113,75
214,2015,8,3,106.0,77.0,5.4,21,106,77
215,2015,8,4,106.0,76.0,6.7,18,105,77
216,2015,8,5,106.0,84.0,8.5,17,104,75
217,2015,8,6,106.0,76.0,8.7,23,108,77
218,2015,8,7,97.0,73.0,5.6,44,106,78
219,2015,8,8,99.0,76.0,4.5,21,97,76
220,2015,8,9,101.0,71.0,4.9,23,100,77
221,2015,8,10,104.0,78.0,6.0,23,105,77
222,2015,8,11,104.0,81.0,7.6,29,109,75
223,2015,8,12,98.0,82.0,3.4,52,115,76
224,2015,8,13,103.0,82.0,2.9,44,120,75
225,2015,8,14,104.0,78.0,3.6,41,120,78
226,2015,8,15,109.0,80.0,2.9,35,126,75
227,2015,8,16,111.0,81.0,5.4,22,116,74
228,2015,8,17,110.0,81.0,7.4,16,109,77
229,2015,8,18,108.0,82.0,5.6,14,105,75
230,2015,8,19,106.0,81.0,4.5,15,103,77
231,2015,8,20,107.0,80.0,8.5,19,107,75
232,2015,8,21,104.0,81.0,8.5,26,107,78
233,2015,8,22,104.0,80.0,6.5,21,103,74
234,2015,8,23,106.0,78.0,4.9,19,105,77
235,2015,8,24,106.0,78.0,4.3,18,105,75
236,2015,8,25,96.0,82.0,6.3,34,98,77
237,2015,8,26,95.0,83.0,4.5,51,106,74
238,2015,8,27,100.0,80.0,3.1,37,107,77
239,2015,8,28,104.0,79.0,3.1,29,109,74
240,2015,8,29,107.0,81.0,6.5,24,110,78
241,2015,8,30,101.0,84.0,8.1,23,100,75
242,2015,8,31,103.0,76.0,6.5,24,104,75
243,2015,9,1,99.0,74.0,7.6,32,102,74
244,2015,9,2,100.0,80.0,8.5,29,102,74
245,2015,9,3,99.0,80.0,7.8,18,96,76
246,2015,9,4,96.0,74.0,10.1,27,95,77
247,2015,9,5,95.0,71.0,7.6,24,92,75
248,2015,9,6,96.0,68.0,4.5,28,95,74
249,2015,9,7,100.0,77.0,3.8,33,104,74
250,2015,9,8,101.0,77.0,3.1,27,102,78
251,2015,9,9,102.0,79.0,3.6,32,107,74
252,2015,9,10,103.0,79.0,4.7,37,114,74
253,2015,9,11,103.0,78.0,3.4,32,109,78
254,2015,9,12,102.0,75.0,4.3,29,105,78
255,2015,9,13,100.0,78.0,5.8,36,106,76
256,2015,9,14,97.0,77.0,10.5,40,103,75
257,2015,9,15,84.0,72.0,9.6,61,88,79
258,2015,9,16,87.0,71.0,9.8,49,89,87
259,2015,9,17,88.0,66.0,5.1,26,85,84
260,2015,9,18,90.0,67.0,4.9,22,87,79
261,2015,9,19,94.0,67.0,4.0,18,90,76
262,2015,9,20,98.0,67.0,3.4,15,94,78
263,2015,9,21,98.0,70.0,5.6,22,96,75
264,2015,9,22,94.0,77.0,5.6,52,104,74
265,2015,9,23,95.0,74.0,3.1,39,98,76
266,2015,9,24,101.0,76.0,4.0,25,101,74
267,2015,9,25,101.0,73.0,4.7,22,100,78
268,2015,9,26,99.0,75.0,4.7,29,100,75
269,2015,9,27,100.0,74.0,5.4,28,101,78
270,2015,9,28,100.0,75.0,5.1,22,98,74
271,2015,9,29,99.0,71.0,3.6,21,97,78
272,2015,9,30,99.0,71.0,4.0,21,97,75
273,2015,10,1,98.0,70.0,9.2,26,97,76
274,2015,10,2,86.0,69.0,4.7,36,85,79
275,2015,10,3,85.0,68.0,3.8,36,84,83
276,2015,10,4,85.0,66.0,7.8,44,85,79
277,2015,10,5,67.0,58.0,3.4,72,67,67
278,2015,10,6,76.0,58.0,2.9,64,76,76
279,2015,10,7,84.0,62.0,4.5,49,85,84
280,2015,10,8,92.0,70.0,5.1,38,93,78
281,2015,10,9,92.0,73.0,4.3,36,92,74
282,2015,10,10,92.0,69.0,3.8,43,95,78
283,2015,10,11,92.0,67.0,2.2,48,97,76
284,2015,10,12,94.0,69.0,3.1,39,97,74
285,2015,10,13,93.0,68.0,2.0,39,95,77
286,2015,10,14,92.0,69.0,2.5,40,94,75
287,2015,10,15,88.0,70.0,4.0,52,92,74
288,2015,10,16,78.0,66.0,2.5,67,78,78
289,2015,10,17,79.0,64.0,3.1,78,80,79
290,2015,10,18,77.0,59.0,4.7,83,78,78
291,2015,10,19,74.0,57.0,4.0,61,74,74
292,2015,10,20,77.0,59.0,5.4,56,77,77
293,2015,10,21,77.0,58.0,5.6,51,77,77
294,2015,10,22,78.0,58.0,2.2,50,78,78
295,2015,10,23,79.0,63.0,4.0,43,79,79
296,2015,10,24,80.0,55.0,4.7,40,80,79
297,2015,10,25,75.0,59.0,2.0,46,74,74
298,2015,10,26,81.0,55.0,2.5,42,81,79
299,2015,10,27,78.0,56.0,1.3,34,78,78
300,2015,10,28,78.0,60.0,4.3,44,78,78
301,2015,10,29,75.0,53.0,7.2,51,75,75
302,2015,10,30,74.0,59.0,10.1,38,74,74
303,2015,10,31,79.0,58.0,3.6,40,78,78
304,2015,11,1,79.0,53.0,3.6,38,78,78
305,2015,11,2,85.0,53.0,11.4,40,84,80
306,2015,11,3,65.0,53.0,5.6,59,64,61
307,2015,11,4,55.0,44.0,3.1,67,54,61
308,2015,11,5,59.0,43.0,2.2,46,58,62
309,2015,11,6,65.0,44.0,6.0,42,64,64
310,2015,11,7,64.0,44.0,6.9,41,63,64
311,2015,11,8,66.0,42.0,3.6,41,65,65
312,2015,11,9,70.0,45.0,7.4,49,70,70
313,2015,11,10,60.0,47.0,8.1,60,60,62
314,2015,11,11,61.0,43.0,4.3,36,60,62
315,2015,11,12,65.0,39.0,5.6,33,64,62
316,2015,11,13,69.0,44.0,6.9,33,68,68
317,2015,11,14,68.0,42.0,3.4,31,67,67
318,2015,11,15,67.0,40.0,8.7,45,66,66
319,2015,11,16,58.0,46.0,14.3,42,56,62
320,2015,11,17,58.0,42.0,6.3,37,56,62
321,2015,11,18,63.0,40.0,3.6,51,62,65
322,2015,11,19,69.0,43.0,3.6,43,68,68
323,2015,11,20,75.0,46.0,6.7,43,74,74
324,2015,11,21,67.0,46.0,8.1,25,66,66
325,2015,11,22,66.0,41.0,6.0,24,64,60
326,2015,11,23,65.0,40.0,3.6,29,64,65
327,2015,11,24,74.0,40.0,7.8,35,74,74
328,2015,11,25,59.0,42.0,8.9,55,58,65
329,2015,11,26,55.0,40.0,3.4,52,54,60
330,2015,11,27,51.0,40.0,4.5,40,50,65
331,2015,11,28,51.0,35.0,3.6,45,50,65
332,2015,11,29,50.0,31.0,3.4,39,48,62
333,2015,11,30,51.0,31.0,2.5,35,49,61
334,2015,12,1,55.0,32.0,4.3,31,54,65
335,2015,12,2,59.0,34.0,3.8,28,58,62
336,2015,12,3,59.0,36.0,2.9,30,58,62
337,2015,12,4,60.0,37.0,3.6,45,59,60
338,2015,12,5,60.0,38.0,4.7,46,59,60
339,2015,12,6,60.0,37.0,3.4,36,58,63
340,2015,12,7,61.0,40.0,3.1,31,60,62
341,2015,12,8,65.0,40.0,2.7,39,64,62
342,2015,12,9,60.0,44.0,2.2,45,59,62
343,2015,12,10,69.0,40.0,8.7,51,68,68
344,2015,12,11,62.0,42.0,9.8,73,62,60
345,2015,12,12,56.0,44.0,7.2,47,55,62
346,2015,12,13,60.0,37.0,7.6,51,59,62
347,2015,12,14,52.0,40.0,8.9,47,50,61
348,2015,12,15,50.0,38.0,5.8,42,48,61
349,2015,12,16,50.0,33.0,3.6,40,48,65
350,2015,12,17,50.0,30.0,2.0,40,48,60
351,2015,12,18,54.0,32.0,3.1,44,52,61
352,2015,12,19,57.0,32.0,3.6,50,56,61
353,2015,12,20,53.0,38.0,3.4,79,52,60
354,2015,12,21,50.0,36.0,4.3,76,49,62
355,2015,12,22,61.0,44.0,8.9,86,61,65
356,2015,12,23,61.0,38.0,3.8,70,60,60
357,2015,12,24,57.0,41.0,8.3,48,56,61
358,2015,12,25,48.0,37.0,8.7,51,46,61
359,2015,12,26,47.0,37.0,14.5,33,45,69
360,2015,12,27,45.0,28.0,5.4,35,43,68
361,2015,12,28,46.0,29.0,1.8,34,44,70
362,2015,12,29,50.0,33.0,3.8,47,48,61
363,2015,12,30,49.0,27.0,2.0,42,48,61
364,2015,12,31,48.0,35.0,9.6,45,46,64
365,2016,1,1,48.0,30.0,6.7,42,46,65
366,2016,1,2,53.0,34.0,4.5,57,52,62
367,2016,1,3,56.0,39.0,6.0,53,55,65
368,2016,1,4,54.0,44.0,3.4,65,53,60
369,2016,1,5,51.0,46.0,5.8,94,50,64
370,2016,1,6,55.0,44.0,8.5,86,54,60
371,2016,1,7,53.0,41.0,4.7,85,52,65
372,2016,1,8,55.0,38.0,4.9,63,54,62
373,2016,1,9,51.0,36.0,2.0,56,50,60
374,2016,1,10,53.0,38.0,2.2,74,52,63
375,2016,1,11,51.0,34.0,4.9,50,50,65
376,2016,1,12,53.0,31.0,4.7,38,52,60
377,2016,1,13,50.0,30.0,2.9,44,48,65
378,2016,1,14,54.0,31.0,2.9,54,53,63
379,2016,1,15,59.0,34.0,6.5,58,58,61
380,2016,1,16,52.0,37.0,1.3,56,51,65
381,2016,1,17,55.0,33.0,2.5,62,54,61
382,2016,1,18,61.0,41.0,5.8,63,60,63
383,2016,1,19,51.0,39.0,2.7,81,50,61
384,2016,1,20,62.0,41.0,2.5,70,62,60
385,2016,1,21,58.0,37.0,4.9,42,56,64
386,2016,1,22,58.0,38.0,2.7,41,56,63
387,2016,1,23,56.0,41.0,2.9,57,55,65
388,2016,1,24,61.0,46.0,4.7,60,60,60
389,2016,1,25,58.0,42.0,5.8,49,57,64
390,2016,1,26,57.0,41.0,6.3,40,56,62
391,2016,1,27,59.0,35.0,4.0,40,58,64
392,2016,1,28,62.0,38.0,2.7,36,61,64
393,2016,1,29,62.0,43.0,2.7,41,61,60
394,2016,1,30,72.0,42.0,9.6,68,72,72
395,2016,1,31,60.0,41.0,12.1,82,60,64
396,2016,2,1,47.0,37.0,11.4,53,46,62
397,2016,2,2,44.0,33.0,3.6,45,42,67
398,2016,2,3,49.0,30.0,3.6,37,47,62
399,2016,2,4,52.0,30.0,4.0,42,50,65
400,2016,2,5,60.0,38.0,6.0,50,59,64
401,2016,2,6,62.0,37.0,5.1,49,61,63
402,2016,2,7,72.0,44.0,8.3,43,72,72
403,2016,2,8,73.0,50.0,9.6,46,72,72
404,2016,2,9,72.0,46.0,6.5,41,72,72
405,2016,2,10,72.0,45.0,3.8,37,72,72
406,2016,2,11,72.0,45.0,3.8,32,71,71
407,2016,2,12,73.0,44.0,3.4,30,72,72
408,2016,2,13,73.0,44.0,4.0,33,72,72
409,2016,2,14,73.0,51.0,6.7,42,72,72
410,2016,2,15,77.0,58.0,6.5,51,77,77
411,2016,2,16,75.0,51.0,4.3,39,74,74
412,2016,2,17,78.0,47.0,6.7,37,78,78
413,2016,2,18,68.0,50.0,9.2,56,68,68
414,2016,2,19,73.0,44.0,3.8,38,72,72
415,2016,2,20,73.0,48.0,3.6,37,72,72
416,2016,2,21,75.0,49.0,4.0,35,74,74
417,2016,2,22,72.0,52.0,8.3,35,72,72
418,2016,2,23,64.0,46.0,7.2,35,63,63
419,2016,2,24,66.0,42.0,4.0,35,65,65
420,2016,2,25,74.0,46.0,4.3,31,74,74
421,2016,2,26,76.0,48.0,3.6,32,76,76
422,2016,2,27,79.0,53.0,2.0,29,78,78
423,2016,2,28,77.0,55.0,3.6,32,76,76
424,2016,3,1,79.0,54.0,3.6,32,78,78
425,2016,3,2,80.0,54.0,3.4,32,80,79
426,2016,3,3,79.0,54.0,4.0,25,78,78
427,2016,3,4,79.0,53.0,3.1,28,78,78
428,2016,3,5,77.0,62.0,9.6,57,77,77
429,2016,3,6,69.0,43.0,10.7,61,68,68
430,2016,3,7,59.0,42.0,5.8,56,58,65
431,2016,3,8,69.0,47.0,5.1,42,68,68
432,2016,3,9,73.0,54.0,4.0,34,72,72
433,2016,3,10,79.0,51.0,3.6,32,78,78
434,2016,3,11,79.0,51.0,11.2,40,78,78
435,2016,3,12,67.0,47.0,5.8,51,66,66
436,2016,3,13,69.0,50.0,9.2,55,68,68
437,2016,3,14,71.0,50.0,4.9,55,70,70
438,2016,3,15,72.0,53.0,3.8,27,71,71
439,2016,3,16,75.0,53.0,4.7,29,74,74
440,2016,3,17,81.0,51.0,3.1,26,80,79
441,2016,3,18,80.0,58.0,3.4,23,80,79
442,2016,3,19,82.0,55.0,3.4,24,80,79
443,2016,3,20,86.0,54.0,5.4,24,83,82
444,2016,3,21,81.0,64.0,13.6,35,80,79
445,2016,3,22,68.0,54.0,13.0,38,67,67
446,2016,3,23,69.0,49.0,6.7,28,68,68
447,2016,3,24,76.0,48.0,3.4,25,75,75
448,2016,3,25,81.0,59.0,4.7,25,79,79
449,2016,3,26,69.0,53.0,7.8,24,68,68
450,2016,3,27,71.0,47.0,3.6,27,70,70
451,2016,3,28,73.0,49.0,16.1,46,72,72
452,2016,3,29,61.0,46.0,8.3,37,60,60
453,2016,3,30,63.0,48.0,2.7,34,62,60
454,2016,3,31,73.0,49.0,4.9,34,72,72
455,2016,4,1,76.0,54.0,5.4,33,76,76
456,2016,4,2,79.0,52.0,2.9,25,78,78
457,2016,4,3,84.0,55.0,3.4,20,81,79
458,2016,4,4,85.0,57.0,3.4,23,82,80
459,2016,4,5,89.0,62.0,6.3,22,86,80
460,2016,4,6,87.0,60.0,8.5,20,84,79
461,2016,4,7,85.0,65.0,5.6,23,82,81
462,2016,4,8,74.0,58.0,5.4,72,74,74
463,2016,4,9,66.0,51.0,4.9,83,66,66
464,2016,4,10,61.0,52.0,2.7,81,61,64
465,2016,4,11,68.0,53.0,2.5,73,68,68
466,2016,4,12,77.0,53.0,2.9,56,77,77
467,2016,4,13,82.0,56.0,7.2,52,83,80
468,2016,4,14,80.0,63.0,8.3,36,80,79
469,2016,4,15,70.0,59.0,13.4,29,69,69
470,2016,4,16,79.0,56.0,10.3,32,78,78
471,2016,4,17,78.0,59.0,6.5,27,78,78
472,2016,4,18,80.0,55.0,3.8,27,80,79
473,2016,4,19,85.0,56.0,2.9,29,83,81
474,2016,4,20,91.0,58.0,5.6,27,88,84
475,2016,4,21,90.0,61.0,5.8,24,87,84
476,2016,4,22,92.0,64.0,13.4,28,90,78
477,2016,4,23,78.0,59.0,7.6,34,78,78
478,2016,4,24,79.0,57.0,7.8,29,78,78
479,2016,4,25,64.0,52.0,10.3,57,64,60
480,2016,4,26,75.0,53.0,5.4,39,74,74
481,2016,4,27,73.0,57.0,6.3,51,72,72
482,2016,4,28,67.0,51.0,4.3,63,66,66
483,2016,4,29,75.0,52.0,4.0,50,75,75
484,2016,4,30,66.0,48.0,6.5,71,66,66
485,2016,5,1,75.0,53.0,3.6,44,74,74
486,2016,5,2,79.0,54.0,4.0,42,79,79
487,2016,5,3,84.0,60.0,4.9,37,83,80
488,2016,5,4,91.0,63.0,5.6,31,89,86
489,2016,5,5,86.0,65.0,9.2,32,84,82
490,2016,5,6,68.0,57.0,5.6,51,68,68
491,2016,5,7,71.0,54.0,4.0,67,71,71
492,2016,5,8,76.0,55.0,4.7,59,76,76
493,2016,5,9,86.0,59.0,7.4,46,87,84
494,2016,5,10,87.0,65.0,2.2,44,88,83
495,2016,5,11,85.0,69.0,6.5,25,82,81
496,2016,5,12,91.0,63.0,3.1,22,88,82
497,2016,5,13,97.0,66.0,4.9,22,94,75
498,2016,5,14,97.0,72.0,9.8,28,97,74
499,2016,5,15,91.0,72.0,7.6,29,89,80
500,2016,5,16,87.0,71.0,5.8,28,84,81
501,2016,5,17,75.0,60.0,7.8,50,75,75
502,2016,5,18,87.0,65.0,4.9,37,86,81
503,2016,5,19,94.0,65.0,11.0,29,93,74
504,2016,5,20,83.0,66.0,15.2,27,81,79
505,2016,5,21,78.0,58.0,10.3,28,78,78
506,2016,5,22,79.0,58.0,3.6,30,78,78
507,2016,5,23,84.0,60.0,7.6,29,82,80
508,2016,5,24,79.0,62.0,10.3,39,78,78
509,2016,5,25,80.0,59.0,3.8,34,80,79
510,2016,5,26,83.0,57.0,3.1,32,81,79
511,2016,5,27,88.0,65.0,2.9,28,85,82
512,2016,5,28,90.0,66.0,4.9,25,87,81
